year,rainfall,temperature,soil_ph,soil_n,fertilizer_kg_ha,planting_day_of_year,yield
1960,450,19.0,5.5,0.18,70,90,
1961,490,19.3,5.58,0.22,74,91,805.1
1962,530,19.6,5.66,0.26,78,92,884.8
1963,570,19.9,5.74,0.3,82,93,1023.7
1964,610,20.2,5.82,0.3399999999999999,86,94,760.0
1965,650,20.5,5.9,0.38,90,95,826.2
1966,690,20.8,5.98,0.18,94,96,851.5
1967,730,21.1,5.5,0.22,98,97,816.9
1968,770,21.4,5.58,0.26,102,98,1028.3
1969,810,21.7,5.66,0.3,106,99,915.4
1970,455,19.2,5.74,0.3399999999999999,110,100,995.9
1971,495,19.5,5.82,0.38,114,101,1046.0
1972,535,19.8,5.9,0.18,118,102,573.1
1973,575,20.1,5.98,0.22,122,103,648.5
1974,615,20.4,5.5,0.26,126,104,911.9
1975,655,20.7,5.58,0.3,130,105,1371.8
1976,695,21.0,5.66,0.3399999999999999,134,106,1197.3
1977,735,21.3,5.74,0.38,138,107,1065.6
1978,775,21.6,5.82,0.18,142,108,1267.8
1979,815,21.9,5.9,0.22,146,109,1148.2
1980,460,19.4,5.98,0.26,70,110,1316.1
1981,500,19.7,5.5,0.3,74,111,1643.8
1982,540,20.0,5.58,0.3399999999999999,78,112,1377.7
1983,580,20.3,5.66,0.38,82,113,970.7
1984,620,20.6,5.74,0.18,86,114,1139.0
1985,660,20.9,5.82,0.22,90,90,1173.5
1986,700,21.2,5.9,0.26,94,91,1267.9
1987,740,21.5,5.98,0.3,98,92,1353.3
1988,780,21.8,5.5,0.3399999999999999,102,93,1640.1
1989,820,22.1,5.58,0.38,106,94,1395.0
1990,465,19.0,5.66,0.18,110,95,1130.1
1991,505,19.3,5.74,0.22,114,96,1129.9
1992,545,19.6,5.82,0.26,118,97,1118.1
1993,585,19.9,5.9,0.3,122,98,1184.8
1994,625,20.2,5.98,0.3399999999999999,126,99,1272.0
1995,665,20.5,5.5,0.38,130,100,1266.6
1996,705,20.8,5.58,0.18,134,101,1326.1
1997,745,21.1,5.66,0.22,138,102,1251.0
1998,785,21.4,5.74,0.26,142,103,1320.0
1999,825,21.7,5.82,0.3,146,104,1599.8
2000,450,19.2,5.9,0.3399999999999999,70,105,1300.1
2001,490,19.5,5.98,0.38,74,106,1399.9
2002,530,19.8,5.5,0.18,78,107,1489.9
2003,570,20.1,5.58,0.22,82,108,1499.9
2004,610,20.4,5.66,0.26,86,109,1600.2
2005,650,20.7,5.74,0.3,90,110,1659.8
2006,690,21.0,5.82,0.3399999999999999,94,111,1818.2
2007,730,21.3,5.9,0.38,98,112,1704.9
2008,770,21.6,5.98,0.18,102,113,1957.1
2009,810,21.9,5.5,0.22,106,114,2196.1
2010,455,19.4,5.58,0.26,110,90,1850.2
2011,495,19.7,5.66,0.3,114,91,1527.9
2012,535,20.0,5.74,0.3399999999999999,118,92,
